iter	Passed	Remaining
498	595	597
499	596	596
500	597	595
501	598	594
502	599	592
503	599	590
504	601	589
505	602	588
506	603	586
507	604	585
508	605	584
509	607	583
510	608	582
511	609	581
512	610	579
513	611	578
514	613	577
515	614	576
516	616	575
517	617	574
518	618	573
519	619	571
520	620	570
521	621	568
522	622	567
523	623	566
524	624	565
525	625	564
526	627	562
527	628	561
528	629	560
529	630	559
530	631	557
531	631	555
532	632	554
533	634	553
534	634	551
535	635	550
536	637	549
537	638	548
538	639	546
539	640	545
540	641	544
541	642	542
542	643	541
543	644	540
544	646	539
545	647	538
546	648	537
547	649	535
548	651	534
549	652	533
550	653	532
551	654	531
552	656	530
553	657	529
554	658	528
555	660	527
556	661	525
557	662	524
558	663	523
559	664	522
560	665	521
561	667	520
562	668	518
563	669	517
564	670	516
565	671	514
566	672	513
567	673	512
568	675	511
569	676	510
570	677	509
571	678	507
572	679	506
573	680	505
574	682	504
575	683	503
576	684	501
577	686	500
578	687	499
579	688	498
580	689	497
581	691	496
582	692	495
583	693	494
584	695	493
585	696	491
586	697	490
587	698	489
588	700	488
589	701	487
590	702	485
591	702	484
592	704	483
593	705	482
594	706	480
595	707	479
596	709	478
597	710	477
598	711	476
599	712	475
600	714	474
601	715	473
602	716	471
603	717	470
604	718	468
605	719	467
606	721	466
607	722	465
608	723	464
609	725	463
610	726	462
611	727	461
612	728	460
613	729	458
614	731	457
615	732	456
616	733	455
617	735	454
618	736	453
619	737	452
620	738	450
621	739	449
622	740	448
623	741	446
624	742	445
625	744	444
626	745	443
627	746	442
628	748	441
629	749	440
630	750	438
631	751	437
632	753	436
633	754	435
634	755	434
635	756	433
636	757	431
637	758	430
638	760	429
639	761	428
640	762	427
641	763	425
642	764	424
643	766	423
644	767	422
645	768	421
646	768	419
647	769	418
648	771	417
649	772	415
650	773	414
651	775	413
652	775	412
653	776	411
654	778	409
655	779	408
656	780	407
657	781	406
658	783	405
659	784	404
660	785	402
661	787	401
662	788	400
663	789	399
664	790	398
665	792	397
666	793	396
667	794	395
668	795	393
669	797	392
670	798	391
671	799	390
672	800	389
673	802	387
674	803	386
675	804	385
676	806	384
677	807	383
678	808	382
679	810	381
680	811	380
681	812	378
682	813	377
683	815	376
684	815	375
685	816	373
686	818	372
687	819	371
688	820	370
689	822	369
690	823	368
691	824	367
692	826	365
693	827	364
694	828	363
695	829	362
696	831	361
697	832	360
698	833	358
699	834	357
700	835	356
701	836	355
702	838	354
703	838	352
704	840	351
705	841	350
706	842	349
707	843	348
708	845	346
709	846	345
710	847	344
711	848	343
712	850	342
713	851	341
714	852	339
715	853	338
716	854	337
717	856	336
718	857	335
719	858	333
720	860	332
721	860	331
722	861	330
723	863	329
724	864	327
725	865	326
726	866	325
727	867	324
728	868	322
729	869	321
730	870	320
731	871	319
732	873	318
733	874	316
734	875	315
735	876	314
736	878	313
737	878	311
738	879	310
739	881	309
740	882	308
741	882	306
742	883	305
743	885	304
744	886	303
745	887	302
746	888	301
747	890	299
748	891	298
749	892	297
750	893	296
751	894	295
752	895	293
753	896	292
754	897	291
755	899	290
756	900	289
757	901	287
758	902	286
759	904	285
760	905	284
761	906	283
762	907	282
763	909	280
764	910	279
765	911	278
766	912	277
767	914	276
768	915	274
769	916	273
770	917	272
771	919	271
772	920	270
773	921	269
774	922	267
775	924	266
776	925	265
777	926	264
778	927	263
779	928	262
780	930	260
781	931	259
782	932	258
783	933	257
784	935	256
785	936	254
786	937	253
787	939	252
788	940	251
789	941	250
790	942	249
791	944	247
792	945	246
793	946	245
794	947	244
795	949	243
796	950	242
797	951	240
798	953	239
799	954	238
800	955	237
801	956	236
802	957	234
803	958	233
804	958	232
805	959	230
806	960	229
807	961	228
808	962	227
809	963	226
810	964	224
811	966	223
812	967	222
813	968	221
814	970	220
815	971	219
816	972	217
817	973	216
818	974	215
819	976	214
820	977	213
821	978	211
822	979	210
823	981	209
824	982	208
825	983	207
826	984	206
827	986	204
828	986	203
829	987	202
830	989	201
831	990	199
832	990	198
833	992	197
834	993	196
835	994	195
836	995	193
837	996	192
838	997	191
839	998	190
840	999	189
841	1000	187
842	1002	186
843	1003	185
844	1004	184
845	1005	183
846	1007	181
847	1008	180
848	1010	179
849	1011	178
850	1012	177
851	1013	176
852	1015	174
853	1016	173
854	1017	172
855	1018	171
856	1020	170
857	1021	169
858	1022	167
859	1023	166
860	1025	165
861	1026	164
862	1027	163
863	1029	161
864	1030	160
865	1031	159
866	1032	158
867	1034	157
868	1035	156
869	1036	154
870	1037	153
871	1039	152
872	1040	151
873	1041	150
874	1042	148
875	1043	147
876	1045	146
877	1046	145
878	1047	144
879	1048	143
880	1049	141
881	1050	140
882	1052	139
883	1053	138
884	1054	137
885	1055	135
886	1057	134
887	1058	133
888	1059	132
889	1060	131
890	1062	129
891	1063	128
892	1064	127
893	1065	126
894	1067	125
895	1068	124
896	1069	122
897	1071	121
898	1072	120
899	1073	119
900	1074	118
901	1076	116
902	1077	115
903	1078	114
904	1079	113
905	1080	112
906	1082	110
907	1083	109
908	1084	108
909	1086	107
910	1087	106
911	1088	105
912	1089	103
913	1090	102
914	1091	101
915	1092	100
916	1093	98
917	1094	97
918	1095	96
919	1096	95
920	1098	94
921	1099	93
922	1100	91
923	1101	90
924	1102	89
925	1104	88
926	1105	87
927	1106	85
928	1108	84
929	1109	83
930	1110	82
931	1111	81
932	1112	79
933	1113	78
934	1115	77
935	1116	76
936	1117	75
937	1119	73
938	1120	72
939	1121	71
940	1122	70
941	1124	69
942	1125	68
943	1126	66
944	1127	65
945	1129	64
946	1130	63
947	1131	62
948	1133	60
949	1134	59
950	1135	58
951	1136	57
952	1137	56
953	1139	54
954	1140	53
955	1140	52
956	1142	51
957	1143	50
958	1144	48
959	1145	47
960	1146	46
961	1147	45
962	1149	44
963	1150	42
964	1151	41
965	1152	40
966	1153	39
967	1154	38
968	1156	36
969	1157	35
970	1158	34
971	1159	33
972	1160	32
973	1161	31
974	1162	29
975	1163	28
976	1164	27
977	1166	26
978	1167	25
979	1168	23
980	1169	22
981	1171	21
982	1172	20
983	1173	19
984	1174	17
985	1176	16
986	1177	15
987	1178	14
988	1179	13
989	1179	11
990	1180	10
991	1182	9
992	1185	8
993	1186	7
994	1187	5
995	1188	4
996	1190	3
997	1191	2
998	1192	1
999	1193	0
